nome_aeroporto,icao_aerodromo,icao_empresa_aerea,razao_social,rotas_saida,rotas_chegada,total_pousos_decolagens
Norman Manley International Airport,MKJP,LAE,,1,1,2
Norman Manley International Airport,MKJP,UKL,,1,1,2
Frankfurt–Hahn Airport,EDFH,ATG,,1,2,3
Bartolomeu Lysandro Airport,SBCP,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,3,392
Frank Miloye Milenkowichi–Marília State Airport,SBML,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,1,1,733
Corumbá International Airport,SBCR,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,351
Marechal Cunha Machado International Airport,SBSL,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,7,7,3418
Luis Muñoz Marín International Airport,TJSJ,SWQ,,1,2,14
Luxembourg Findel Airport,ELLX,QTR,,6,5,652
Recife/Guararapes–Gilberto Freyre International Airport,SBRF,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,35,34,40991
Caruaru Airport (Oscar Laranjeiras Airport),SNRU,OWT,,1,1,764
Boa Vista International Airport,SBBV,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,3,1147
João Correa da Rocha Airport,SBMA,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,1049
Gov. Dix-Sept Rosado Airport,SBMS,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,3,492
Leite Lopes Airport,SBRP,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,10,10,3130
Deputado Luís Eduardo Magalhães International Airport,SBSV,GLO,GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),20,20,13332
Barcelona–El Prat Airport,LEBL,TAM,TAM LINHAS AÉREAS S.A.,1,1,25
Moussa Nakhl Tobias–Bauru/Arealva State Airport,SBAE,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,4,1118
São Gabriel da Cachoeira Airport,SBUA,PAM,MAP TRANSPORTES AÉREOS LTDA.,1,1,296
Cascavel Airport (Adalberto Mendes da Silva Airport),SBCA,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,2,2,1339
Khartoum International Airport,HSSS,VDA,,1,1,2
Cabo Frio International Airport,SBCB,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,3,4,451
London Stansted Airport,EGSS,QTR,,1,1,2
Eduardo Gomes International Airport,SBEG,AZU,AZUL LINHAS AÉREAS BRASILEIRAS S/A,24,24,8494
